bam,cell_type,tissue,subsetname,meta
CXCR5_Neg_CD8.LMC.208-30-0037.S10.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Neg_CD8.LMC.208-30-0040.S7.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Neg_CD8.LMC.208-30-0052.S4.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Neg_CD8.LMC.208-30-0054.S1.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Neg_CD8.LMC.208-30-0068.S1.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Neg_CD8.LMC.208-30-0074.S7.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_NEG,nonbulk
N702N504-208-30-0106-LMC-CXCR5neg-CD8_S11.bam,cd8,LN,CXCR5_NEG,nonbulk
N706N504-208-30-0113-LMC-CXCR5neg-CD8_S12.bam,cd8,LN,CXCR5_NEG,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0037.S7.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0040.S4.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0052.S1.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0054.S10.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0068.S10.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
CXCR5_Pos_CD8.LMC.208-30-0074.S4.R1_val_1.PE2SE.bam,cd8,LN,CXCR5_POS,nonbulk
N701N503-208-30-0106-LMC-CXCR5pos-CD8_S8.bam,cd8,LN,CXCR5_POS,nonbulk
N705N503-208-30-0113-LMC-CXCR5pos-CD8_S10.bam,cd8,LN,CXCR5_POS,nonbulk
ISW9-specific_CD8.LMC.208-30-0044.S11.R1_val_1.PE2SE.bam,cd8,LN,HIVSPEC,nonbulk
ISW9-specific_CD8.LMC.208-30-0089.S2.R1_val_1.PE2SE.bam,cd8,LN,HIVSPEC,nonbulk
QW9-specific_CD8.LMC.208-30-0062.S3.R1_val_1.PE2SE.bam,cd8,LN,HIVSPEC,nonbulk
TL9-specific_CD8.LMC.208-30-0068.S7.R1_val_1.PE2SE.bam,cd8,LN,HIVSPEC,nonbulk
ISW9-specific_CD8.PBMC.111-30-0105-0.S1.R1_val_1.PE2SE.bam,cd8,PB,HIVSPEC,nonbulk
QW9-specific_CD8.PBMC.127-33-0097-079.S6.R1_val_1.PE2SE.bam,cd8,PB,HIVSPEC,nonbulk
TL9-specific_CD8.PBMC.111-30-0010-0.S8.R1_val_1.PE2SE.bam,cd8,PB,HIVSPEC,nonbulk
N701N517-208-30-0113-LMC-Naive-CD8_S1.bam,cd8,LN,Naive,nonbulk
N703N517-208-30-0106-LMC-NaiveCD8_S2.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0037.S2.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0040.S11.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0044.S12.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0052.S8.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0054.S5.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0062.S5.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0068.S10.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0068.S5.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.LMC.208-30-0074.S11.R1_val_1.PE2SE.bam,cd8,LN,Naive,nonbulk
Naive_CD8.PBMC.111-30-0105-0.S4.R1_val_1.PE2SE.bam,cd8,PB,Naive,nonbulk
Naive_CD8.PBMC.127-33-0097-079.S9.R1_val_1.PE2SE.bam,cd8,PB,Naive,nonbulk
